YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2018-11,WEEKDAY,11,TRAIN,NS7,15435,14278
2018-11,WEEKENDS/HOLIDAY,11,TRAIN,NS7,7729,11534
2018-11,WEEKENDS/HOLIDAY,16,TRAIN,SW4,463,273
2018-11,WEEKDAY,16,TRAIN,SW4,515,607
2018-11,WEEKENDS/HOLIDAY,10,TRAIN,CC5,1592,1847
2018-11,WEEKDAY,10,TRAIN,CC5,2801,4289
2018-11,WEEKENDS/HOLIDAY,13,TRAIN,CC23,2203,2345
2018-11,WEEKDAY,13,TRAIN,CC23,15221,20886
2018-11,WEEKENDS/HOLIDAY,22,TRAIN,EW33,703,2333
2018-11,WEEKDAY,22,TRAIN,EW33,1339,2352
2018-11,WEEKDAY,14,TRAIN,CC21,9981,8280
2018-11,WEEKENDS/HOLIDAY,14,TRAIN,CC21,4749,4829
2018-11,WEEKDAY,18,TRAIN,EW24-NS1,271285,224442
2018-11,WEEKENDS/HOLIDAY,18,TRAIN,EW24-NS1,58990,59943
2018-11,WEEKENDS/HOLIDAY,7,TRAIN,NE10,3841,3172
2018-11,WEEKDAY,7,TRAIN,NE10,26880,28233
2018-11,WEEKDAY,8,TRAIN,EW22,19364,79438
2018-11,WEEKENDS/HOLIDAY,8,TRAIN,EW22,2251,3223
2018-11,WEEKDAY,7,TRAIN,BP10,14132,2800
2018-11,WEEKENDS/HOLIDAY,7,TRAIN,BP10,1689,729
2018-11,WEEKDAY,15,TRAIN,NE10,11236,11562
2018-11,WEEKENDS/HOLIDAY,15,TRAIN,NE10,5374,5433
2018-11,WEEKDAY,18,TRAIN,EW22,42942,29613
2018-11,WEEKENDS/HOLIDAY,18,TRAIN,EW22,4472,3558
2018-11,WEEKDAY,15,TRAIN,CC25,5788,4335
2018-11,WEEKENDS/HOLIDAY,15,TRAIN,CC25,3448,2527
2018-11,WEEKDAY,12,TRAIN,DT16,715,4969
2018-11,WEEKENDS/HOLIDAY,12,TRAIN,CE1,9110,15707
2018-11,WEEKDAY,12,TRAIN,CE1,17542,25664
2018-11,WEEKENDS/HOLIDAY,12,TRAIN,DT16,385,5050
2018-11,WEEKENDS/HOLIDAY,10,TRAIN,SW6,2024,772
2018-11,WEEKDAY,10,TRAIN,SW6,4153,1754
2018-11,WEEKDAY,17,TRAIN,DT31,10515,14102
2018-11,WEEKENDS/HOLIDAY,17,TRAIN,DT31,3534,3803
2018-11,WEEKENDS/HOLIDAY,15,TRAIN,CC14,2262,2800
2018-11,WEEKDAY,15,TRAIN,CC14,9356,6658
2018-11,WEEKENDS/HOLIDAY,14,TRAIN,CC16,3976,3483
2018-11,WEEKDAY,14,TRAIN,CC16,6772,7716
2018-11,WEEKENDS/HOLIDAY,10,TRAIN,EW11,10542,9209
2018-11,WEEKDAY,10,TRAIN,EW11,25258,25415
2018-11,WEEKDAY,6,TRAIN,CC1-NE6-NS24,4262,10487
2018-11,WEEKENDS/HOLIDAY,6,TRAIN,CC1-NE6-NS24,1603,2486
2018-11,WEEKENDS/HOLIDAY,0,TRAIN,EW19,24,288
2018-11,WEEKDAY,0,TRAIN,EW19,67,663
2018-11,WEEKENDS/HOLIDAY,10,TRAIN,CC22,4139,4101
2018-11,WEEKDAY,10,TRAIN,CC22,9379,16918
2018-11,WEEKENDS/HOLIDAY,10,TRAIN,EW21,4312,4060
2018-11,WEEKDAY,10,TRAIN,EW21,6543,8944
2018-11,WEEKENDS/HOLIDAY,8,TRAIN,CC8,2775,2398
2018-11,WEEKDAY,8,TRAIN,CC8,30670,10075
2018-11,WEEKENDS/HOLIDAY,17,TRAIN,NE7,21474,24487
2018-11,WEEKDAY,17,TRAIN,DT12,12494,6724
2018-11,WEEKENDS/HOLIDAY,17,TRAIN,DT12,2521,5764
2018-11,WEEKDAY,17,TRAIN,NE7,39176,33667
2018-11,WEEKDAY,17,TRAIN,EW33,9575,2750
2018-11,WEEKENDS/HOLIDAY,17,TRAIN,EW33,2098,1679
2018-11,WEEKDAY,22,TRAIN,NS28,890,1144
2018-11,WEEKENDS/HOLIDAY,22,TRAIN,NS28,306,560
2018-11,WEEKENDS/HOLIDAY,0,TRAIN,DT10,13,45
2018-11,WEEKDAY,0,TRAIN,DT10,23,198
2018-11,WEEKDAY,10,TRAIN,NE3,17708,25753
2018-11,WEEKDAY,10,TRAIN,EW16,6107,10084
2018-11,WEEKENDS/HOLIDAY,10,TRAIN,NE3,5814,5844
2018-11,WEEKENDS/HOLIDAY,10,TRAIN,EW16,1755,2951
2018-11,WEEKDAY,9,TRAIN,CC14,14472,8829
2018-11,WEEKENDS/HOLIDAY,9,TRAIN,CC14,3605,1272
2018-11,WEEKDAY,14,TRAIN,EW27,36980,41340
2018-11,WEEKENDS/HOLIDAY,14,TRAIN,EW27,25811,25199
2018-11,WEEKDAY,0,TRAIN,CE2,0,9
2018-11,WEEKDAY,0,TRAIN,NS27,15,112
2018-11,WEEKENDS/HOLIDAY,0,TRAIN,CE2,1,4
2018-11,WEEKENDS/HOLIDAY,0,TRAIN,NS27,3,27
2018-11,WEEKDAY,18,TRAIN,DT27,32407,16065
2018-11,WEEKENDS/HOLIDAY,18,TRAIN,DT27,4246,3516
2018-11,WEEKDAY,0,TRAIN,NS8,789,3132
2018-11,WEEKENDS/HOLIDAY,0,TRAIN,NS8,595,1522
2018-11,WEEKENDS/HOLIDAY,18,TRAIN,NS14,12801,15735
2018-11,WEEKDAY,18,TRAIN,NS14,43406,92620
2018-11,WEEKENDS/HOLIDAY,12,TRAIN,EW17,13613,12623
2018-11,WEEKDAY,12,TRAIN,EW17,26810,28306
2018-11,WEEKDAY,17,TRAIN,DT21,15561,8857
2018-11,WEEKENDS/HOLIDAY,17,TRAIN,DT21,4885,3078
2018-11,WEEKDAY,19,TRAIN,NE12,40576,75300
2018-11,WEEKDAY,19,TRAIN,CC13,35612,93561
2018-11,WEEKENDS/HOLIDAY,19,TRAIN,NE12,15172,17912
2018-11,WEEKENDS/HOLIDAY,19,TRAIN,CC13,14626,20551
2018-11,WEEKDAY,6,TRAIN,EW31,2184,5246
2018-11,WEEKENDS/HOLIDAY,6,TRAIN,EW31,565,1150
2018-11,WEEKDAY,15,TRAIN,EW7,11704,15489
2018-11,WEEKENDS/HOLIDAY,15,TRAIN,EW7,7247,7505
2018-11,WEEKENDS/HOLIDAY,0,TRAIN,NE17-PTC,252,1854
2018-11,WEEKDAY,0,TRAIN,NE17-PTC,597,4694
2018-11,WEEKENDS/HOLIDAY,13,TRAIN,BP12,1743,1259
2018-11,WEEKDAY,13,TRAIN,BP12,3584,3243
2018-11,WEEKENDS/HOLIDAY,14,TRAIN,CC15,16984,18315
2018-11,WEEKDAY,14,TRAIN,CC15,33191,35136
2018-11,WEEKENDS/HOLIDAY,14,TRAIN,NS17,8414,4481
2018-11,WEEKDAY,14,TRAIN,NS17,15549,9628
2018-11,WEEKDAY,16,TRAIN,DT26,3343,3205
2018-11,WEEKENDS/HOLIDAY,16,TRAIN,DT26,1691,1356
2018-11,WEEKDAY,16,TRAIN,CC10,11069,8263
2018-11,WEEKENDS/HOLIDAY,16,TRAIN,CC10,4511,3660
2018-11,WEEKDAY,6,TRAIN,DT28,14099,5520
2018-11,WEEKENDS/HOLIDAY,6,TRAIN,DT28,3051,915
2018-11,WEEKDAY,5,TRAIN,DT7,237,101
2018-11,WEEKENDS/HOLIDAY,5,TRAIN,DT7,73,4
2018-11,WEEKENDS/HOLIDAY,11,TRAIN,PW5,1386,693
2018-11,WEEKDAY,11,TRAIN,PW5,1958,1177
2018-11,WEEKENDS/HOLIDAY,18,TRAIN,BP3,1998,2604
