YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2018-10,WEEKENDS/HOLIDAY,11,TRAIN,NS7,7057,9710
2018-10,WEEKDAY,11,TRAIN,NS7,17677,16152
2018-10,WEEKENDS/HOLIDAY,16,TRAIN,SW4,413,206
2018-10,WEEKDAY,16,TRAIN,SW4,492,755
2018-10,WEEKENDS/HOLIDAY,10,TRAIN,CC5,1317,1717
2018-10,WEEKDAY,10,TRAIN,CC5,3388,4825
2018-10,WEEKDAY,13,TRAIN,CC23,17699,23625
2018-10,WEEKENDS/HOLIDAY,13,TRAIN,CC23,1812,1969
2018-10,WEEKENDS/HOLIDAY,22,TRAIN,EW33,700,2008
2018-10,WEEKDAY,22,TRAIN,EW33,1450,2449
2018-10,WEEKDAY,14,TRAIN,CC21,11739,10401
2018-10,WEEKENDS/HOLIDAY,14,TRAIN,CC21,4704,4270
2018-10,WEEKENDS/HOLIDAY,18,TRAIN,EW24-NS1,51420,51154
2018-10,WEEKDAY,18,TRAIN,EW24-NS1,302526,236148
2018-10,WEEKENDS/HOLIDAY,7,TRAIN,NE10,3542,3022
2018-10,WEEKDAY,7,TRAIN,NE10,30810,39265
2018-10,WEEKENDS/HOLIDAY,8,TRAIN,EW22,2170,2474
2018-10,WEEKDAY,8,TRAIN,EW22,20991,68888
2018-10,WEEKENDS/HOLIDAY,14,TRAIN,CC16,3821,3326
2018-10,WEEKDAY,14,TRAIN,CC16,10527,9782
2018-10,WEEKENDS/HOLIDAY,10,TRAIN,EW11,10236,9408
2018-10,WEEKDAY,10,TRAIN,EW11,28225,27573
2018-10,WEEKDAY,6,TRAIN,CC1-NE6-NS24,4893,13269
2018-10,WEEKENDS/HOLIDAY,6,TRAIN,CC1-NE6-NS24,1408,2271
2018-10,WEEKDAY,0,TRAIN,EW19,57,413
2018-10,WEEKENDS/HOLIDAY,0,TRAIN,EW19,7,105
2018-10,WEEKENDS/HOLIDAY,10,TRAIN,EW21,4461,4011
2018-10,WEEKDAY,10,TRAIN,EW21,6555,9341
2018-10,WEEKENDS/HOLIDAY,10,TRAIN,CC22,4263,3769
2018-10,WEEKDAY,10,TRAIN,CC22,9365,17373
2018-10,WEEKENDS/HOLIDAY,8,TRAIN,CC8,2636,1964
2018-10,WEEKDAY,8,TRAIN,CC8,34112,10661
2018-10,WEEKDAY,17,TRAIN,DT12,13938,7256
2018-10,WEEKDAY,17,TRAIN,NE7,43063,37105
2018-10,WEEKENDS/HOLIDAY,17,TRAIN,DT12,2111,4990
2018-10,WEEKENDS/HOLIDAY,17,TRAIN,NE7,18537,21727
2018-10,WEEKENDS/HOLIDAY,17,TRAIN,EW33,1822,1349
2018-10,WEEKDAY,17,TRAIN,EW33,10048,2706
2018-10,WEEKDAY,22,TRAIN,NS28,951,828
2018-10,WEEKENDS/HOLIDAY,22,TRAIN,NS28,291,333
2018-10,WEEKENDS/HOLIDAY,0,TRAIN,DT10,25,39
2018-10,WEEKDAY,0,TRAIN,DT10,31,181
2018-10,WEEKENDS/HOLIDAY,10,TRAIN,EW16,1757,2609
2018-10,WEEKDAY,10,TRAIN,EW16,6824,10828
2018-10,WEEKENDS/HOLIDAY,10,TRAIN,NE3,5480,5292
2018-10,WEEKDAY,10,TRAIN,NE3,19447,27210
2018-10,WEEKDAY,9,TRAIN,CC14,15074,10059
2018-10,WEEKENDS/HOLIDAY,9,TRAIN,CC14,3426,1126
2018-10,WEEKDAY,14,TRAIN,EW27,39640,48759
2018-10,WEEKENDS/HOLIDAY,14,TRAIN,EW27,22656,23177
2018-10,WEEKENDS/HOLIDAY,0,TRAIN,NS27,9,20
2018-10,WEEKDAY,0,TRAIN,CE2,1,1
2018-10,WEEKDAY,0,TRAIN,NS27,18,75
2018-10,WEEKENDS/HOLIDAY,0,TRAIN,CE2,0,1
2018-10,WEEKENDS/HOLIDAY,18,TRAIN,DT27,3912,2958
2018-10,WEEKDAY,18,TRAIN,DT27,35800,18214
2018-10,WEEKDAY,7,TRAIN,BP10,17770,3730
2018-10,WEEKENDS/HOLIDAY,7,TRAIN,BP10,982,381
2018-10,WEEKENDS/HOLIDAY,15,TRAIN,NE10,5295,5123
2018-10,WEEKDAY,15,TRAIN,NE10,13160,12913
