Number,Name,Name_chn,Latitude,Longitude,ZIP,Street,Description,mapchnX,mapchnY,mapstatusX,mapstatusY
CC22,Buona Vista,波那维斯达站,1.307449000,103.788983000,139237,31 Rochester Park,,640,1277,577,1296
CC23,One-North,纬壹站,1.299297000,103.787095000,,1 Fusionopolis Way,,606,1389,669,1360
CC24,Kent Ridge,肯特岗站,1.293377000,103.784348000,,51 Lower Kent Ridge Rd,,537,1451,606,1428
CC25,Haw Par Villa,虎豹别墅站,1.282377000,103.781877000,,21 W Coast Hwy,,486,1545,584,1517
CC26,Pasir Panjang,巴西班让站,1.276064000,103.791138000,118543,121 Pasir Panjang Rd,,482,1634,576,1635
CC27,Labrador Park,拉柏多公园站,1.272289000,103.802811000,109029,701 Telok Blangah Rd,,496,1721,592,1723
CC28,Telok Blangah,直落布兰雅站,1.270563000,103.809577000,098829,,,578,1796,666,1799
CC29,HarbourFront,港湾站,1.265372000,103.820327000,098867,81 Telok Blangah Rd,,605,1851,731,1849
DT14,Bugis,武吉士站,1.300799000,103.855534000,,164 Rochor Rd,,1645,1395,1652,1437
DT15,Promenade,宝门廊站,1.293205000,103.861628000,039190,3 Temasek Ave,,1681,1588,1775,1578
DT16,Bayfront,海湾舫站,1.282434000,103.859549000,018971,1 Bayfont Ave,,1577,1688,1646,1675
DT17,Downtown,市中心站,1.279401000,103.852964000,,Cental Blvd,,1366,1757,1428,1736
DT18,Telok Ayer,直落亚逸站,1.282045000,103.848457000,068579,110 Telok Ayer St,,1200,1598,1273,1598
DT19,Chinatown,牛车水站,1.284437000,103.843264000,059108,1 Park Rd,,1165,1552,1251,1533
DT1,Bukit Panjang,武吉班让,1.378197000,103.763545000,678270,15 Petir Rd,,876,645,859,616
DT2,Cashew,凯秀站,1.368975000,103.764803000,,,,741,779,797,745
DT3,Hillview,山景站,1.362472000,103.767389000,,,,738,828,790,799
DT5,Beauty World,美世界站,1.341133000,103.775797000,,,,691,887,800,886
DT6,King Albert Park,阿尔柏王园站,1.335628000,103.783983000,,,,675,947,794,953
DT7,Sixth Avenue,第六道站,1.330714000,103.797633000,,,,755,1008,858,1005
DT8,Tan Kah Kee,陈嘉庚站,1.326039000,103.807169000,,,,826,1062,926,1060
DT9,Botanic Gardens,植物园站,1.322509000,103.815376000,,,,1029,1096,1098,1061
DT10,Stevens,史蒂芬站,1.320069000,103.825997000,,,,1251,1061,1296,1047
DT11,Newton,纽顿站,1.312487000,103.837924000,228234,49 Scotts Rd,,1340,1154,1399,1137
DT12,Little India,小印度站,1.307228000,103.849847000,,,,1458,1256,1545,1227
DT13,Rochor,梧槽站,1.303764000,103.852581000,,,,1390,1311,1426,1282
DT20,Fort Canning,福康宁,1.292099000,103.844770000,,,,2179,2863,2211,2803
DT21,Bencoolen,明古连,1.298864000,103.850387000,,,,2929,2821,3047,2823
DT22,Jalan Besar,惹兰勿刹,1.305406000,103.855481000,,,,3171,2587,3337,2589
DT23,Bendemeer,明地迷亚,1.313668000,103.862999000,,,,3291,2460,3465,2462
DT24,Geylang Bahru,芽笼苔鲁,1.321502000,103.871905000,,,,3421,2332,3615,2332
DT25,Mattar,玛达,1.326880000,103.883250000,,,,3563,2202,3665,2184
DT26,Macpherson,麦申波站,1.326742000,103.889883000,,,,3379,2073,3513,2013
DT27,Ubi,乌美,1.329972000,103.899258000,,,,3789,2070,3867,2008
DT28,Kaki Bukit,加基武吉,1.334971000,103.908465000,,,,3954,2152,4034,2104
DT29,Bedok  North,勿洛北,1.334737000,103.918034000,,,,4126,2068,4214,1988
DT30,Bedok Reservoir,勿洛蓄水池,1.336600000,103.932235000,,,,4270,2150,4406,2150
DT31,Tampines West,淡滨尼西,1.345512000,103.938438000,,,,4436,2068,4554,2000
DT32,Tampines,淡滨尼,1.354759000,103.943531000,529538,,,2369,1014,2357,1016
DT33,Tampines East,淡滨尼东,1.356208000,103.954645000,,,,4746,2274,4918,2274
DT34,Upper Changi,樟宜上段,1.341712000,103.961588000,,,,4793,2410,4923,2418
DT35,Expo,博览,1.334693000,103.961362000,,,,4707,2654,4813,2606
DT36,XiLin,锡林,1.328879000,103.964905000,,,,4637,2756,4719,2732
DT37,Sungei Bedok,双溪勿洛,1.320151000,103.956798000,,,,4561,2858,4799,2878
CG1,Expo,博览站,1.334693,103.961362,,,,,,,
CG2,Changi Airport,樟宜机场站,1.357367,103.988905,,,,,,,
BP1,Choa Chu Kang,蔡厝港站,1.385521,103.743689,,,,,,,
BP2,South View,南景站,1.380329,103.745062,,,,,,,
BP3,Keat Hong,吉丰站,1.378656,103.748881,,,,,,,
BP4,Teck Whye,德惠站,1.376811,103.752872,,,,,,,
BP5,Phoenix,凤凰站,1.378442,103.757636,,,,,,,
BP6,Bukit Panjang,武吉班让,1.378197,103.763545,,,,,,,
BP7,Petir,柏提站,1.377291,103.767376,,,,,,,
BP8,Pending,秉定站,1.376261,103.771313,,,,,,,
BP9,Bangkit,万吉站,1.380391,103.772622,,,,,,,
BP10,Fajar,法嘉站,1.384745,103.771077,,,,,,,
BP11,Segar,实加站,1.387491,103.770176,,,,,,,
BP12,Jelapang,泽拉邦站,1.386805,103.764661,,,,,,,
BP13,Senja,信加站,1.383211,103.762161,,,,,,,
PTC,Punggol,榜鹅站,1.404729,103.902257,,,,,,,
PE1,Cove,海湾站,1.399337,103.906302,,,,,,,
PE2,Meridian,丽园站,1.396978,103.909177,,,,,,,
PE3,Coral Edge,珊瑚站,1.393448,103.912096,,,,,,,
PE4,Riviera,里维达站,1.394619,103.916523,,,,,,,
PE5,Kadaloor,卡达鲁站,1.399338,103.916395,,,,,,,
PE6,Oasis,绿洲站,1.401612,103.913605,,,,,,,
PE7,Damai,达迈站,1.405345,103.907833,,,,,,,
STC,Sengkang,盛港站,1.391745,103.895495,,,,,,,
SE1,Compassvale,康埔桦站,1.394619,103.900087,,,,,,,
SE2,Rumbia,棕美站,1.391101,103.906224,,,,,,,
SE3,Bakau,码高站,1.387883,103.905194,,,,,,,
SE4,Kangkar,港脚站,1.383722,103.902061,,,,,,,
SE5,Ranggung,兰岗站,1.383636,103.897641,,,,,,,
SW2,Farmway,农道站,1.397295,103.888972,,,,,,,
SW4,Thanggam,丹甘站,1.397348,103.875379,,,,,,,
SW5,Fernvale,芬微站,1.391921,103.876087,,,,,,,
SW6,Layar,拉雅站,1.392157,103.879885,,,,,,,
SW7,Tongkang,同港站 ,1.389261,103.886107,,,,,,,
SW8,Renjong,仁宗站,1.386644,103.890442,,,,,,,
CE1,Bayfront,海湾舫站,1.282362,103.858994,,,,,,,
CE2,Marina Bay,滨海湾站,1.276162,103.854316,,,,,,,
