YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2019-01,WEEKENDS/HOLIDAY,18,TRAIN,NS14,13405,16151
2019-01,WEEKENDS/HOLIDAY,12,TRAIN,EW17,14470,13158
2019-01,WEEKDAY,12,TRAIN,EW17,26440,28244
2019-01,WEEKENDS/HOLIDAY,0,TRAIN,NE17-PTC,905,1186
2019-01,WEEKDAY,0,TRAIN,NE17-PTC,1078,3267
2019-01,WEEKDAY,13,TRAIN,BP12,4731,3256
2019-01,WEEKENDS/HOLIDAY,13,TRAIN,BP12,1757,1338
2019-01,WEEKDAY,14,TRAIN,CC15,36956,40973
2019-01,WEEKENDS/HOLIDAY,14,TRAIN,NS17,8654,4689
2019-01,WEEKENDS/HOLIDAY,14,TRAIN,CC15,17819,18455
2019-01,WEEKDAY,14,TRAIN,NS17,21373,10488
2019-01,WEEKENDS/HOLIDAY,16,TRAIN,DT26,1869,1352
2019-01,WEEKDAY,16,TRAIN,DT26,3512,3461
2019-01,WEEKENDS/HOLIDAY,16,TRAIN,CC10,4533,3959
2019-01,WEEKDAY,16,TRAIN,CC10,11636,8915
2019-01,WEEKENDS/HOLIDAY,6,TRAIN,DT28,2963,993
2019-01,WEEKDAY,6,TRAIN,DT28,17762,6282
2019-01,WEEKENDS/HOLIDAY,5,TRAIN,DT7,52,4
2019-01,WEEKDAY,5,TRAIN,DT7,244,105
2019-01,WEEKENDS/HOLIDAY,11,TRAIN,PW5,1393,643
2019-01,WEEKDAY,11,TRAIN,PW5,2176,1463
2019-01,WEEKENDS/HOLIDAY,18,TRAIN,BP3,2126,2574
2019-01,WEEKDAY,18,TRAIN,BP3,5348,15136
2019-01,WEEKENDS/HOLIDAY,22,TRAIN,CC28,618,1897
2019-01,WEEKDAY,22,TRAIN,CC28,1337,4978
2019-01,WEEKENDS/HOLIDAY,13,TRAIN,SW6,1951,1400
2019-01,WEEKDAY,13,TRAIN,SW6,3866,3740
2019-01,WEEKDAY,17,TRAIN,CC13,36422,71273
2019-01,WEEKDAY,17,TRAIN,NE12,40357,52425
2019-01,WEEKENDS/HOLIDAY,17,TRAIN,CC13,17495,22875
2019-01,WEEKENDS/HOLIDAY,17,TRAIN,NE12,18508,19814
2019-01,WEEKENDS/HOLIDAY,8,TRAIN,DT11,8386,9098
2019-01,WEEKDAY,8,TRAIN,NS21,67528,108101
2019-01,WEEKENDS/HOLIDAY,8,TRAIN,NS21,8390,10444
2019-01,WEEKDAY,8,TRAIN,DT11,92177,79453
2019-01,WEEKENDS/HOLIDAY,0,TRAIN,NE16-STC,832,1350
