YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2018-12,WEEKENDS/HOLIDAY,22,TRAIN,NS28,650,756
2018-12,WEEKDAY,22,TRAIN,NS28,1504,1976
2018-12,WEEKENDS/HOLIDAY,0,TRAIN,DT10,19,68
2018-12,WEEKDAY,0,TRAIN,DT10,75,437
2018-12,WEEKDAY,10,TRAIN,NE3,17268,23318
2018-12,WEEKENDS/HOLIDAY,10,TRAIN,EW16,2257,3884
2018-12,WEEKDAY,10,TRAIN,EW16,5598,9730
2018-12,WEEKENDS/HOLIDAY,10,TRAIN,NE3,7170,6778
2018-12,WEEKDAY,9,TRAIN,CC14,11730,6207
2018-12,WEEKENDS/HOLIDAY,9,TRAIN,CC14,3953,1969
2018-12,WEEKENDS/HOLIDAY,14,TRAIN,EW27,31964,29945
2018-12,WEEKDAY,14,TRAIN,EW27,39427,42736
2018-12,WEEKDAY,0,TRAIN,CE2,1573,428
2018-12,WEEKENDS/HOLIDAY,0,TRAIN,NS27,16,60
2018-12,WEEKDAY,0,TRAIN,NS27,5636,74
2018-12,WEEKENDS/HOLIDAY,0,TRAIN,CE2,0,3
2018-12,WEEKDAY,18,TRAIN,DT27,28828,13793
2018-12,WEEKENDS/HOLIDAY,18,TRAIN,DT27,5042,4010
2018-12,WEEKENDS/HOLIDAY,11,TRAIN,NS7,8891,13275
2018-12,WEEKDAY,11,TRAIN,NS7,15848,14716
2018-12,WEEKENDS/HOLIDAY,16,TRAIN,SW4,518,313
2018-12,WEEKDAY,16,TRAIN,SW4,536,502
2018-12,WEEKDAY,10,TRAIN,CC5,2837,4142
2018-12,WEEKENDS/HOLIDAY,10,TRAIN,CC5,1979,2403
2018-12,WEEKDAY,13,TRAIN,CC23,16280,17530
2018-12,WEEKENDS/HOLIDAY,13,TRAIN,CC23,2342,2214
2018-12,WEEKDAY,22,TRAIN,EW33,1357,2203
2018-12,WEEKENDS/HOLIDAY,22,TRAIN,EW33,1005,2726
2018-12,WEEKENDS/HOLIDAY,14,TRAIN,CC21,5614,4999
2018-12,WEEKDAY,14,TRAIN,CC21,10092,8398
2018-12,WEEKENDS/HOLIDAY,18,TRAIN,EW24-NS1,70457,72214
2018-12,WEEKDAY,18,TRAIN,EW24-NS1,245114,204785
2018-12,WEEKENDS/HOLIDAY,7,TRAIN,NE10,4473,3508
2018-12,WEEKDAY,7,TRAIN,NE10,21151,19219
2018-12,WEEKENDS/HOLIDAY,8,TRAIN,EW22,2465,2669
2018-12,WEEKDAY,8,TRAIN,EW22,16140,29679
2018-12,WEEKENDS/HOLIDAY,7,TRAIN,BP10,1950,899
2018-12,WEEKDAY,7,TRAIN,BP10,11346,1983
2018-12,WEEKDAY,15,TRAIN,NE10,9503,11396
2018-12,WEEKENDS/HOLIDAY,15,TRAIN,NE10,6761,6551
2018-12,WEEKDAY,18,TRAIN,EW22,20403,18064
2018-12,WEEKENDS/HOLIDAY,18,TRAIN,EW22,3549,3585
2018-12,WEEKDAY,15,TRAIN,CC25,5372,3789
2018-12,WEEKENDS/HOLIDAY,15,TRAIN,CC25,3757,2643
2018-12,WEEKDAY,12,TRAIN,DT16,915,6597
2018-12,WEEKDAY,12,TRAIN,CE1,18064,29600
2018-12,WEEKENDS/HOLIDAY,12,TRAIN,CE1,11439,20684
2018-12,WEEKENDS/HOLIDAY,12,TRAIN,DT16,520,7495
2018-12,WEEKDAY,10,TRAIN,SW6,3904,1508
2018-12,WEEKENDS/HOLIDAY,10,TRAIN,SW6,2234,920
2018-12,WEEKENDS/HOLIDAY,17,TRAIN,DT31,4381,4541
2018-12,WEEKDAY,17,TRAIN,DT31,8567,11982
2018-12,WEEKENDS/HOLIDAY,15,TRAIN,CC14,3554,3440
2018-12,WEEKDAY,15,TRAIN,CC14,5709,5638
2018-12,WEEKDAY,14,TRAIN,CC16,5955,6564
2018-12,WEEKENDS/HOLIDAY,14,TRAIN,CC16,4961,4040
2018-12,WEEKENDS/HOLIDAY,10,TRAIN,EW11,13458,11119
2018-12,WEEKDAY,10,TRAIN,EW11,25656,24852
2018-12,WEEKDAY,6,TRAIN,CC1-NE6-NS24,3848,9428
2018-12,WEEKENDS/HOLIDAY,6,TRAIN,CC1-NE6-NS24,1915,2919
2018-12,WEEKENDS/HOLIDAY,0,TRAIN,EW19,23,497
2018-12,WEEKDAY,0,TRAIN,EW19,273,1148
2018-12,WEEKDAY,10,TRAIN,CC22,7550,13691
2018-12,WEEKENDS/HOLIDAY,10,TRAIN,CC22,4879,4940
2018-12,WEEKDAY,10,TRAIN,EW21,5432,7712
